station_id,opis_id,name,address,city,state,rack_id,retail_price,latitude,longitude,location_accuracy,geocode_confidence
69789,69789,LOVES TRAVEL STOP #620,US-301 & SR-20,Hawthorne,FL,140,3.789,29.573998,-82.105625,city,
69790,69790,LOVES TRAVEL STOP #641,I-155/US-412 EXIT 13 & SR-78,Dyersburg,TN,275,3.40233333,36.03452,-89.38563,city,
69791,69791,PILOT #1083,US-287 & US-54,Stratford,TX,585,3.499,36.33349,-101.988568,city,
69792,69792,FLYING J #1061,"I-44, EXIT 72",Springfield,MO,416,3.38233333,37.21533,-93.29824,city,
69797,69797,KWIK TRIP #149,US-10,Saint Cloud,MN,451,3.21066666,45.5608,-94.16249,city,
69798,69798,LOVES TRAVEL STOP #060,US-36 & US-283,Norton,KS,525,3.109,39.840706,-99.887832,city,
69799,69799,MAVERIK COUNTRY STORE #387,"I-40, EXIT 253",Winslow,AZ,930,3.23566666,35.16078,-110.511382,city,
69800,69800,MAVERIK COUNTRY STORE #502,US-385 & SR-2,Alliance,NE,795,3.259,42.114943,-102.888045,city,
69801,69801,MAVERIK COUNTRY STORE #409,"I-580, EXIT 41 & SR-531",Carson City,NV,966,3.589,39.1638,-119.7674,city,
69803,69803,THORNTONS #319,"I-55, EXIT 248 & US-6",Channahon,IL,399,3.274,41.434664,-88.213786,city,
69804,69804,KWIK TRIP #184,"I-94, EXIT 293",Pewaukee,WI,444,3.449,43.078777,-88.272922,city,
69809,69809,KWIK TRIP #162,"I-94, EXIT 202",Elk River,MN,451,3.29733333,45.30385,-93.56718,city,
69811,69811,Chisholm Corner #16,US-81 & SR-7,Marlow,OK,569,3.01566666,34.638681,-97.940955,city,
69813,69813,SHEETZ #608,"I-81, EXIT 24 & CR-696",Shippensburg,PA,70,3.28566666,40.051359,-77.519477,city,
69814,69814,Allsup's #2454,US-87 & SR-163,Sterling City,TX,612,3.224,31.835063,-101.001729,city,
69815,69815,CENEX ZIP TRIP #75,"I-94/US-12, EXIT 138 & US-59",Miles City,MT,780,3.49733333,46.407459,-105.833193,city,
69816,69816,STRIPES #42503,"I-27, EXIT 1",Lubbock,TX,700,2.95066666,33.57786,-101.85517,city,
